,id,title,year,vote_count,vote_average,popularity,genres,poster_path,director,actor,poster,link,crawling_title
0,862,Toy Story,1995,5415.0,7.7,21.946943,"['Animation', 'Comedy', 'Family']",/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,조시 쿨리,"['톰 행크스', '애니 파츠', '토니 헤일', '팀 알렌']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101966_P09_114632.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101966,토이 스토리 4
1,8844,Jumanji,1995,2413.0,6.9,17.015539,"['Adventure', 'Fantasy', 'Family']",/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,제이크 캐스단,"['카렌 길런', '드웨인 존슨', '케빈 하트', '잭 블랙']",https://ssl.pstatic.net/imgmovie/mdi/mit110/1873/187349_P10_112229.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187349,쥬만지: 넥스트 레벨
2,15602,Grumpier Old Men,1995,92.0,6.5,11.7129,"['Romance', 'Comedy']",/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,하워드 도이치,"['월터 매튜', '잭 레먼', '앤 마그렛']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0189/A8917-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18917,그럼피어 올드 맨
3,31357,Waiting to Exhale,1995,34.0,6.1,3.859495,"['Comedy', 'Drama', 'Romance']",/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,포레스트 휘태커,"['휘트니 휴스턴', '안젤라 바셋', '로레타 드바인']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0177/A7798-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17798,사랑을 기다리며
4,11862,Father of the Bride Part II,1995,173.0,5.7,8.387519000000001,['Comedy'],/e64sOI48hQXyru7naBFyssKFxVd.jpg,찰스 샤이어,"['스티브 마틴', '다이안 키튼', '마틴 숏']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0177/A7754-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17754,신부의 아버지 2
5,949,Heat,1995,1886.0,7.7,17.924927,"['Action', 'Crime', 'Drama', 'Thriller']",/zMyfPUelumio3tiDKPffaUpsQTD.jpg,루시엔느 베너,[],,https://movie.naver.com/movie/bi/mi/basic.nhn?code=206479,사일런트 히트
6,11860,Sabrina,1995,141.0,6.2,6.677277,"['Comedy', 'Romance']",/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,세르지오 콜메나르,"['마르타 탑데비라', '조르디 빌체스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0890/89009_P01_192539.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=89009,사브리나
7,45325,Tom and Huck,1995,45.0,5.4,2.5611610000000002,"['Action', 'Adventure', 'Drama', 'Family']",/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,피터 휴잇,"['조나단 테일러 토마스', '브래드 렌프로', '에릭 슈웨이그']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0251/B5130-01.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=25130,톰과 허크
8,9091,Sudden Death,1995,174.0,5.5,5.23158,"['Action', 'Adventure', 'Thriller']",/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,애덤 홀,"['맷 루츠', '오텀 헐버트', '더그 존스', '존 라로케트', '마크 크리스토퍼 로렌스']",https://ssl.pstatic.net/imgmovie/mdi/mit110/0802/80230_P01_120305.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=80230,서든 데쓰
9,710,GoldenEye,1995,1194.0,6.6,14.686035999999998,"['Adventure', 'Action', 'Thriller']",/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,마틴 캠벨,['피어스 브로스넌'],https://ssl.pstatic.net/imgmovie/mdi/mit110/0171/A7149-00.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=17149,007 골든 아이
